,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,first_case,Start date,End date,Length (days),Level
0,World,688091303,"20,575","6,873,000",12,"660,502,581","23,697","20,715,722","39,079","88,276",881.7,,,,All,"
",,,,,,,Non-Lockdown,,,
1,USA,106787016,,"1,162,662                                ",,"104,752,848",,"871,506","1,151","318,953","3,473","1,178,974,205","3,521,373","334,805,269 ",North America,3,288,0,,,"2,603",20 January 2020,2020-03-19,2021-06-15,453,State
2,India,44976599,,"531,736                                ",,"44,425,250",,"19,613",N/A,"31,975",378,"928,216,464","659,886","1,406,631,776 ",Asia,31,"2,645",2,,,14,30 January 2020,2020-03-25,2020-06-07,74,National
3,France,40029701,,"166,862                                ",,"39,764,181",,"98,658",869,"610,353","2,544","271,490,188","4,139,547","65,584,518 ",Europe,2,393,0,,,"1,504",24 January 2020,2020-03-17,2020-05-11,55,National
4,Germany,38415659,,"173,628                                ",,"38,215,200","2,000","26,831",N/A,"457,964","2,070","122,332,384","1,458,359","83,883,596 ",Europe,2,483,1,,,320,27 January 2020,2020-03-16,2020-05-30,76,National
5,Brazil,37511921,,"702,116                                ",,"36,249,161",,"560,644",N/A,"174,188","3,260","63,776,166","296,146","215,353,593 ",South America,6,307,3,,,"2,603",25 February 2020,2020-03-17,2020-04-07,21,State
6,Japan,33803572,,"74,694                                ",,N/A,N/A,N/A,83,"269,169",595,"100,414,883","799,578","125,584,838 ",Asia,4,"1,681",1,,,"95,582",16 January 2020,Non-Lockdown,,,
7,S. Korea,31351686,"20,574","34,583                                ",12,"31,043,988","11,811","273,115",157,"610,788",674,"15,804,065","307,892","51,329,899 ",Asia,2,"1,484",3,401,0.2,"5,321",20 January 2020,Non-Lockdown,,,
8,Italy,25809208,,"189,904                                ",,"25,493,751",,"125,553",108,"428,278","3,151","271,773,815","4,509,813","60,262,770 ",Europe,2,317,0,,,"2,083",30 January 2020,2020-03-09,2020-05-18,70,National
9,UK,24569895,,"223,396                                ",,"24,336,876","2,099","9,623",N/A,"358,696","3,261","522,526,476","7,628,357","68,497,907 ",Europe,3,307,0,,,140,31 January 2020,2020-03-23,2020-07-04,103,National
10,Russia,22886898,,"398,602                                ",,"22,301,223",,"187,073",N/A,"156,968","2,734","273,400,000","1,875,095","145,805,947 ",Europe,6,366,1,,,"1,283",31 January 2020,2020-03-30,2020-05-12,43,Metropolitan area
11,Turkey,17232066,,"102,174                                ",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976 ",Asia,5,837,1,,,"4,024",11 March 2020,2020-04-23,2020-04-27,4,Only in 30 metropolitan cities and Zonguldak.
12,Spain,13845825,,"120,964                                ",,"13,681,014",,"43,847",231,"296,363","2,589","471,036,328","10,082,298","46,719,142 ",Europe,3,386,0,,,939,31 January 2020,2020-03-14,2020-05-09,56,National
13,Vietnam,11582567,,"43,200                                ",,"10,629,335",,"910,032",132,"117,051",437,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,,,"9,197",23 January 2020,2020-04-01,2020-04-22,21,National
14,Australia,11472222,,"20,410                                ",,"11,424,238",,"27,574",61,"440,075",783,"81,888,237","3,141,236","26,068,792 ",Australia/Oceania,2,"1,277",0,,,"1,058",25 January 2020,2020-03-31,2020-05-12,43,Metropolitan area
15,Iran,7607744,,"146,058                                ",,"7,342,490",,"119,196",407,"88,439","1,698","55,353,767","643,478","86,022,837 ",Asia,11,589,2,,,"1,386",19 February 2020,2020-03-14,2020-04-20,37,National
16,Mexico,7597890,,"333,972                                ",,"6,844,792",,"419,126",N/A,"57,751","2,538","19,965,535","151,757","131,562,772 ",North America,17,394,7,,,"3,186",28 February 2020,2020-03-23,2020-06-01,70,National
17,Indonesia,6792173,,"161,526                                ",,"6,611,770",,"18,877",N/A,"24,333",579,"114,158,919","408,975","279,134,505 ",Asia,41,"1,728",2,,,68,2 March 2020,Non-Lockdown,,,
18,Poland,6515154,,"119,574                                ",,"5,335,940",,"1,059,640",648,"172,634","3,168","38,688,070","1,025,127","37,739,785 ",Europe,6,316,1,,,"28,078",4 March 2020,2020-03-13,2020-04-11,29,National
19,Colombia,6365994,,"142,727                                ",,"6,187,964",,"35,303",342,"123,581","2,771","36,951,507","717,327","51,512,762 ",South America,8,361,1,,,685,6 March 2020,2020-03-25,2020-06-30,97,National
20,Austria,6070587,,"22,466                                ",,"6,040,150",,"7,971",55,"669,547","2,478","211,273,524","23,302,116","9,066,710 ",Europe,1,404,0,,,879,25 February 2020,2020-03-16,2020-04-13,28,National
