,"Country,Other",Start date,End date,Length (days)
0,Albania,2020-03-13,2020-06-01,80
1,Algeria,2020-03-23,2020-05-14,52
3,Argentina,2020-03-19,2020-11-08,234
5,Armenia,2020-03-24,2020-05-04,41
6,Australia,2020-03-31,2020-05-12,43
58,Austria,2020-03-16,2020-04-13,28
59,Azerbaijan,2020-03-31,2020-08-30,152
60,Bangladesh,2020-03-26,2020-05-16,51
61,Barbados,2020-03-28,2020-05-03,36
62,Belgium,2020-03-18,2020-05-04 ,47
63,Bermuda,2020-04-04,2020-05-02,28
64,Bhutan,2020-08-11,2020-09-01,21
65,Bolivia,2020-03-22,2020-07-31,131
66,Botswana,2020-04-02,2020-04-30,28
67,Brazil,2020-03-17,2020-04-07,21
69,Bulgaria,2020-03-13,2020-06-15,94
70,Cambodia,2021-04-15,2021-05-05,21
72,Canada,2020-03-18,2020-05-18,61
77,Colombia,2020-03-25,2020-06-30,97
78,Congo,2020-03-31,2020-04-20,20
79,Costa Rica,2020-03-23,2020-05-01,39
80,Croatia,2020-03-18,2020-05-11,32
81,Cyprus,2020-03-24,2020-04-13,20
82,Czech Republic,2020-03-16,2020-04-12,27
83,Denmark,2020-03-12,2020-04-13,33
84,Ecuador,2020-03-16,2020-03-31,15
85,El Salvador,2020-03-12,2020-04-02,21
86,Eritrea,2020-04-02,2020-04-23,21
87,Estonia,2021-03-11,2021-04-11,31
88,Fiji,2020-03-20,2020-04-07,18
90,France,2020-03-17,2020-05-11,55
92,Finland,2021-03-08,2021-03-28,20
93,Georgia,2020-03-31,2020-04-21,21
94,Germany,2020-03-16,2020-05-30,76
96,Ghana,2020-03-30,2020-04-12,13
98,Greece,2020-03-23,2020-05-04,42
101,Guernsey,2020-03-25,2020-06-20,87
102,Honduras,2020-03-20,2020-05-17,58
103,Hungary,2020-03-28,2020-04-10,13
104,India,2020-03-25,2020-06-07,74
112,Iran,2020-03-14,2020-04-20,37
113,Iraq,2020-03-22,2020-04-11,20
114,Ireland,2020-03-12,2020-05-18,67
118,Israel,2020-04-02,2020-04-16,14
120,Italy,2020-03-09,2020-05-18,70
127,Jamaica,2020-04-15,2020-04-22,7
128,Jordan,2020-03-18,2020-04-30,43
129,Kosovo,2020-03-14,2020-05-04 ,51
130,Kuwait,2020-05-10,2020-05-31,21
131,Lebanon,2020-03-15,2020-03-28,13
132,Libya,2020-03-22,2020-06-27,97
133,Lithuania,2020-03-16,2020-06-18,94
134,Madagascar,2020-03-23,2020-04-20,28
136,Malaysia,2020-03-18,2020-06-09,83
137,Mexico,2020-03-23,2020-06-01,70
145,Mongolia,2020-03-10,2020-03-16,6
146,Montenegro,2020-03-24,2020-05-05,42
147,Morocco,2020-03-19,2020-06-10,83
148,Myanmar,2020-04-18,2020-07-01,74
149,Namibia,2020-03-27,2020-05-04,38
150,Nepal,2020-03-24,2020-07-21,120
152,Netherlands,2020-03-15,2020-04-06,22
153,New Zealand,2020-03-23,2020-05-13,52
155,Nigeria,2020-03-30,2020-04-12,13
158,Northern Cyprus,2020-03-30,2020-05-04,35
159,North Korea,2022-05-12,not set,not set
161,Oman,2020-04-10,2020-05-29,49
163,Pakistan,2020-03-24,2020-05-09,46
164,Panama,2020-03-25,2020-05-31 (downgraded to a night and weekend curfew),67
165,Papua New Guinea,2020-03-24,2020-04-07,14
166,Paraguay,2020-03-20,2020-05-03,44
167,Peru,2020-03-16,2020-06-30,106
168,Philippines,2020-03-27,2020-05-15,49 to 65
172,Poland,2020-03-13,2020-04-11,29
173,Portugal,2020-03-19,2020-04-02,14
174,Qatar,2020-03-11,2020-06-15,96
175,Romania,2020-03-25,2020-05-12,48
176,Russia,2020-03-30,2020-05-12,43
178,Rwanda,2020-03-21,2020-04-19,29
179,Samoa,2020-03-26,2020-04-08,13
180,San Marino,2020-03-14,2020-05-05,52
181,Saudi Arabia,2020-03-29,2020-06-21,84
186,Serbia,2020-03-15,2020-04-21,37 to 50
187,Singapore,2020-04-07,2020-06-01,56
188,South Africa,2020-03-26,2020-04-30,35
189,Spain,2020-03-14,2020-05-09,56
190,Sri Lanka,2020-03-18,2020-06-21,95
191,Switzerland,2020-03-17,2020-04-27,41
192,Thailand,2020-03-25,2020-05-31,67
193,Trinidad and Tobago,2020-03-17,2020-03-31,14
194,Tunisia,2020-03-22,2020-04-19,28
195,Turkey,2020-04-23,2020-04-27,4
197,Ukraine,2020-03-17,2020-04-24,38
198,United Arab Emirates,2020-03-26,2020-04-17,22
199,United Kingdom,2020-03-23,2020-07-04,103
225,United States,2020-03-19,2021-06-15,453
234,Venezuela,2020-03-17,2020-05-13,57
235,Vietnam,2020-04-01,2020-04-22,21
240,Zimbabwe,2020-03-30,2020-05-02,33
