"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Start Date,End Date,Length,First Case,Fisrt case / lockdown
United States,108103082,,1173670,,105975479.0,,953933.0,1184.0,322883,3506.0,1181726232.0,3529593.0,334805269,North America,3,285.0,0.0,,,2849.0,2020-03-19,2021-06-15,453.0,2020-01-20,59
India,44997167,,531930,,44463717.0,,1520.0,,31989,378.0,930797975.0,661721.0,1406631776,Asia,31,2644.0,2.0,,,1.0,2020-03-25,2020-06-07,74.0,2020-01-30,55
Germany,38428685,,174352,,38240600.0,,13733.0,,458119,2078.0,122332384.0,1458359.0,83883596,Europe,2,481.0,1.0,,,164.0,2020-03-16,2020-05-30,75.0,2020-01-27,49
Brazil,37771706,,705313,,36249161.0,,817232.0,,175394,3275.0,63776166.0,296146.0,215353593,South America,6,305.0,3.0,,,3795.0,2020-03-17,2020-04-07,21.0,2020-02-25,21
South Korea,34436586,,35812,,33908615.0,46890.0,492159.0,238.0,670887,698.0,15804065.0,307892.0,51329899,Asia,1,1433.0,3.0,,,9588.0,,,,2020-01-20,0
Japan,33803572,,74694,,,,,83.0,269169,595.0,100414883.0,799578.0,125584838,Asia,4,1681.0,1.0,,,95582.0,,,,2020-01-16,0
Italy,25955703,,191276,,25639992.0,,124435.0,19.0,430709,3174.0,274852965.0,4560908.0,60262770,Europe,2,315.0,0.0,,,2065.0,2020-03-09,2020-05-18,70.0,2020-01-30,39
United Kingdom,24671491,,228707,,24432525.0,777.0,10259.0,,360179,3339.0,522526476.0,7628357.0,68497907,Europe,3,300.0,0.0,,,150.0,2020-03-23,2020-07-04,103.0,2020-01-31,52
Russia,22989632,,399983,,22443780.0,,145869.0,,157673,2743.0,273400000.0,1875095.0,145805947,Europe,6,365.0,1.0,,,1000.0,2020-03-30,2020-05-12,43.0,2020-01-31,59
Turkey,17232066,,102174,,,,,,201399,1194.0,162743369.0,1902052.0,85561976,Asia,5,837.0,1.0,,,4024.0,2020-04-23,2020-04-27,4.0,2020-03-11,43
Spain,13914811,,121760,,13762417.0,,30634.0,231.0,297840,2606.0,471036328.0,10082298.0,46719142,Europe,3,384.0,0.0,,,656.0,2020-03-14,2020-05-09,56.0,2020-01-31,43
Australia,11753452,,22646,,11725595.0,,5211.0,21.0,450863,869.0,81916639.0,3142326.0,26068792,Australia/Oceania,2,1151.0,0.0,,,200.0,,,,2020-01-25,0
Vietnam,11622900,,43206,,10640547.0,,939147.0,,117458,437.0,85826548.0,867342.0,98953541,Asia,9,2290.0,1.0,,,9491.0,2020-04-01,2020-04-22,21.0,2020-01-23,69
Argentina,10061739,,130568,,9930223.0,,948.0,363.0,218685,2838.0,35716069.0,776264.0,46010234,South America,5,352.0,1.0,,,21.0,,,,2020-03-03,0
Mexico,7633355,,334336,,6885378.0,,413641.0,,58021,2541.0,20013810.0,152124.0,131562772,North America,17,394.0,7.0,,,3144.0,2020-03-23,2020-06-01,70.0,2020-02-28,24
Iran,7613532,,146321,,7374684.0,,92527.0,18.0,88506,1701.0,56934517.0,661854.0,86022837,Asia,11,588.0,2.0,,,1076.0,2020-03-14,2020-04-20,37.0,2020-02-19,24
